Nombre,Paquete de Ventas,Caracteristicas
"DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook  (15.6 Inch, Carbon Black, 1.68 Kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Carbon Black,Notebook,Everyday Use,AMD,Athlon Dual Core,8 GB,DDR4,Windows 11 Home"
"DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XPS 9305 Thin and Light Laptop  (13.4 inch, Platinum Silver, 1.16 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Platinum Silver,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,LPDDR4X,Windows 11 Home"
"Lenovo Yoga 7i Ryzen 7 Octa Core R7-5800U 5th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL5 2 in 1 Laptop  (14 inch, Slate Grey, 1.43 kg, With MS Office)","2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents","Slate Grey,2 in 1 Laptop,Processing & Multitasking,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Windows 10 Home"
"ASUS Ryzen 7 Dual Core 7th Gen - (16 GB/512 GB HDD/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX3050- 4GB) FA506IC-HN075W Gaming Laptop  (15.6 inch, Black)","Laptop, Manual, Adaptor","Black,Gaming Laptop,Gaming,AMD,Ryzen 7 Dual Core,16 GB,DDR4,Windows 11 Home"
"ASUS Ryzen 3 Quad Core 3rd Gen - (8 GB/256 GB SSD/Windows 11 Home) M515DA-BR322WS Laptop  (15.6 inch, Silver, With MS Office)","Laptop, Manual, Adaptor","Silver,Laptop,Entertainment, Everyday Use, Processing & Multitasking, Travel & Business,AMD,Ryzen 3 Quad Core,8 GB,DDR4,Windows 11 Home"
"ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core Ryzen 9 5900HS 5th Gen - (32 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) GV301QH-K6461TS 2 in 1 Gaming Laptop  (13.4 Inch, Black, 1.3 KG, With MS Office)","Laptop, Power Adaptor, User Guide, GV 301 Sleeve Bag, Pen, Warranty Documents","Black,2 in 1 Gaming Laptop,Gaming, Processing & Multitasking,AMD,Ryzen 9 Octa Core,32 GB,LPDDR4X,Windows 10 Home"
"MSI GP66 Leopard Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/240 Hz) GP66 Leopard 11UG Gaming Laptop  (15.6 inches, Black, 2.9 kg)","Laptop, Battery, Power Adapter, User Guide, Stealth Trooper Backpack","Black,Gaming Laptop,Processing & Multitasking, Gaming,Intel,Core i7,16 GB,DDR4,Windows 10 Home"
"ASUS Vivobook 15 OLED Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L301WS Laptop  (15.6 inch, Hearty Gold, 1.80 kg kg, With MS Office)","Laptop, Manual, Adaptor","Hearty Gold,Laptop,Entertainment, Everyday Use, Performance, Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Grey, 1.37 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Grey,Thin and Light Laptop,Entertainment, Performance, Processing & Multitasking,Intel,Core i5,16 GB,LPDDR4X,Windows 11 Home"
"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Green, 1.37 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Green,Thin and Light Laptop,Entertainment, Performance, Processing & Multitasking,Intel,Core i5,16 GB,LPDDR4X,Windows 11 Home"
"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Blue, 1.37 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Blue,Thin and Light Laptop,Entertainment, Performance, Processing & Multitasking,Intel,Core i5,16 GB,LPDDR4X,Windows 11 Home"
"DELL G15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/165 Hz) G15-5511 SE Gaming Laptop  (15.6 inch, Obsidian Black, 2.65 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Obsidian Black,Gaming Laptop,Gaming,Intel,Core i7,16 GB,DDR4,Windows 11 Home"
"DELL Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) G15-5515 Gaming Laptop  (15.6 inch, Grey, 2.57 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Grey,Gaming Laptop,Gaming,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Windows 11 Home"
"Avita SATUS Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-MB Laptop  (14.1 Inch, Matt Black)","Laptop, Power Adaptor, User Guide, Warranty Documents","Matt Black,Laptop,Processing & Multitasking,Intel,Celeron Dual Core,4 GB,DDR4,Windows 11 Home"
"ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM501WS Thin and Light Laptop  (14 Inch, Neutral Grey, 1.50 Kg, With MS Office)","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents","Neutral Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM702WS Thin and Light Laptop  (14 inch, Indie Black, 1.50 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Indie Black,Thin and Light Laptop,Processing & Multitasking,Intel,Core i7,16 GB,DDR4,Windows 11 Home"
"ASUS Zenbook 14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402ZA-KM531WS Thin and Light Laptop  (14 inch, Ponder Blue, 1.39 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Ponder Blue,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,LPDDR5,Windows 11 Home"
"ASUS Zenbook 14X (2022) Space edition Intel EVO Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) UX5401ZAS-KN711WS Thin and Light Laptop  (14 inch, Titanium, 1.40 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Titanium,Thin and Light Laptop,Processing & Multitasking,Intel,Core i7,16 GB,LPDDR5,Windows 11 Home"
"ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM502WS Thin and Light Laptop  (14 Inch, Indie Black, 1.50 Kg, With MS Office)","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents","Indie Black,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"ASUS Zenbook 14 OLED (2022) Intel EVO Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402ZA-KM731WS Thin and Light Laptop  (14 inch, Ponder Blue, 1.39 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Ponder Blue,Thin and Light Laptop,Processing & Multitasking,Intel,Core i7,16 GB,LPDDR5,Windows 11 Home"
"ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM701WS Thin and Light Laptop  (14 Inch, Neutral Grey, 1.50 Kg, With MS Office)","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents","Neutral Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i7,16 GB,DDR4,Windows 11 Home"
"ASUS Zenbook 14X (2022) Space edition Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX5401ZAS-KN521WS Thin and Light Laptop  (14 inch, Titanium, 1.40 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Titanium,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,LPDDR5,Windows 11 Home"
"DELL Vostro 3405 Ryzen 5 Quad Core 3450U - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3405 Thin and Light Laptop  (14 inch, Dune, 1.59 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Dune,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 5 Quad Core,8 GB,DDR4,Windows 11 Home"
"ASUS Ryzen 7 Hexa Core 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 rts) FA506IC-HN005T Gaming Laptop  (15.6 inch, Graphite Black)","Laptop, Manual","Graphite Black,Gaming Laptop,Gaming,AMD,Ryzen 7 Hexa Core,8 GB,DDR4,Windows 10 Home"
"ASUS Ryzen 9 Octa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX RTX3060-6GB) FA506QM-HN124W Gaming Laptop  (16.6 inch, Graphite Black)","Laptop, Manual, Adaptor","Graphite Black,Gaming Laptop,Gaming,AMD,Ryzen 9 Octa Core,16 GB,DDR4,Windows 11 Home"
"ASUS Core i5 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515JA-BQ511WS Thin and Light Laptop  (15.6 inch, Transparent Silver, With MS Office)","Laptop, Manual, Adaptor","Transparent Silver,Thin and Light Laptop,Everyday Use, Performance, Processing & Multitasking,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"ASUS Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L501TS Laptop  (15.6 inch, Hearty Gold, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Hearty Gold,Laptop,Everyday Use,Intel,Core i5,8 GB,DDR4,Windows 10 Home"
"ASUS Ryzen 7 Quad Core 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX GTX 1650 4GB Graphics) G713IH-HX020T Gaming Laptop  (17.3 inch, Gray)","Laptop-, Manual, Adaptor","Gray,Gaming Laptop,Gaming,AMD,Ryzen 7 Quad Core,8 GB,DDR4,Windows 10 Home"
"ASUS Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) K413EA-EB522WS Thin and Light Laptop  (14 inch, Indie Black, 1.40 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Indie Black,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"ASUS VivoBook 15 (2021) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ521WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"DELL G15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) G15-5521 SE Gaming Laptop  (15.6 Inch, Obsidian Black, 2.57 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Obsidian Black,Gaming Laptop,Gaming,Intel,Core i7,16 GB,DDR5,Windows 11 Home"
"DELL G15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5520 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.57 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Dark Shadow Grey,Gaming Laptop,Gaming,Intel,Core i5,16 GB,DDR5,Windows 11 Home"
"DELL G15 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) G15-5520 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.57 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Dark Shadow Grey,Gaming Laptop,Gaming,Intel,Core i7,16 GB,DDR5,Windows 11 Home"
"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) X515EA-BR312TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 10 Home"
"DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.65 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Dark Shadow Grey,Gaming Laptop,Gaming,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"DELL G15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G15-5521 SE Gaming Laptop  (15.6 Inch, Obsidian Black, 2.57 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Obsidian Black,Gaming Laptop,Gaming,Intel,Core i7,16 GB,DDR5,Windows 11 Home"
"DELL G15 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G15-5520 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.57 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Dark Shadow Grey,Gaming Laptop,Gaming,Intel,Core i7,16 GB,DDR5,Windows 11 Home"
"DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.65 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Dark Shadow Grey,Gaming Laptop,Gaming,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"acer Aspire 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A515-56 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.65 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pure Silver,Thin and Light Laptop,Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"ASUS VivoBook Ultra K15 OLED Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L322WS Thin and Light Laptop  (15.6 inch, Indie Black, 1.80 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Indie Black,Thin and Light Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"ASUS Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) K513EA-L513WS Laptop  (15.6 inch, Silver, With MS Office)","Laptop, Manual, Adaptor","Silver,Laptop,Performance, Processing & Multitasking, Everyday Use, Entertainment,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) 15s-du3519TX Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.75 Kg, With MS Office)","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents","Natural Silver,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"HP Pavilion Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1008AU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Natural Silver,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Windows 11 Home"
"HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Natural Silver,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 5 Hexa Core,16 GB,DDR4,Windows 11 Home"
"ASUS Core i5 11th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX RTX3050-4G) FX516PCZ-HN090T Gaming Laptop  (15.6 inch, White)","Laptop, Adaptor","White,Gaming Laptop,Gaming,Intel,Core i5,8 GB,DDR4,Windows 10 Home"
"acer Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) TMB311-31 Notebook  (11.6 Inch, Black, 1.4 Kg)","Laptop, Power cord, Adapter, User Manual","Black,Notebook,Everyday Use, Performance, Processing & Multitasking, Travel & Business,Intel,Celeron Dual Core,4 GB,DDR4,Windows 11 Home"
"acer Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) TMB311-31 Notebook  (11.6 Inch, Black, 1.4 Kg)","Laptop, Power cord, Adapter, User Manual","Black,Notebook,Everyday Use, Performance, Processing & Multitasking, Travel & Business,Intel,Celeron Dual Core,4 GB,DDR4,Windows 11 Home"
"acer Nitro 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) AN515-57 Gaming Laptop  (15.6 inch, Shale Black, 2.2 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Shale Black,Gaming Laptop,Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Intel,Celeron Dual Core,4 GB,DDR4,Windows 11 Home"
"acer Aspire 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A315-58 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.7 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pure Silver,Thin and Light Laptop,Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"acer Nitro 5 Core i7 12th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) AN515-58 Gaming Laptop  (15.6 inch, Shale Black, 2.6 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Shale Black,Gaming Laptop,Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business,Intel,Core i7,16 GB,DDR4,Windows 11 Home"
"HP Pavilion Gaming Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) 15-EC2048AX Gaming Laptop  (15.6 Inch, Shadow Black, 1.98 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Shadow Black,Gaming Laptop,Gaming,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Windows 10 Home"
"HP OMEN Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics) 16-B1351TX Laptop  (16.1 inch, Shadow Black, 2.32 kg, With MS Office)","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide","Shadow Black,Laptop,Processing & Multitasking,Intel,Core i7,16 GB,DDR5,Windows 11 Home"
"Lenovo THINKBOOK 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) THINKBOOK 15 Notebook  (15.6 inch, Minral Grey, 1.9 kg)",LAPTOP / ADAPTER / POWER CABLE,"Minral Grey,Notebook,Everyday Use,Intel,Core i3,8 GB,DDR4,Windows 10 Home"
"ASUS Ryzen 5 Quad Core 3rd Gen - (8 GB/512 GB SSD/Windows 11 Home) M515DA-BQ512WS Thin and Light Laptop  (15.6 inch, Transparent Silver, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Transparent Silver,Thin and Light Laptop,Everyday Use,AMD,Ryzen 5 Quad Core,8 GB,DDR4,Windows 11 Home"
"DELL Inspiron Pentium Quad Core - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3521 Thin and Light Laptop  (15.6 inch, Platinum Silver, 1.8 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Platinum Silver,Thin and Light Laptop,Everyday Use,Intel,Pentium Quad Core,8 GB,DDR4,Windows 11 Home"
"ASUS Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L501WS Laptop  (15.6 inch, Hearty GOLD, With MS Office)","Laptop, Manual","Hearty GOLD,Laptop,Entertainment,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"ASUS Ryzen 7 Quad Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RTX3050- 4GB) G513IC-HN023WS Gaming Laptop  (15.6 inch, Gray, With MS Office)","laptop, adaptor, manual","Gray,Gaming Laptop,Gaming,AMD,Ryzen 7 Quad Core,16 GB,DDR4,Windows 11 Home"
"DELL Vostro 5000 Series Ryzen 5 Quad Core Ryzen 5-5625U - (16 GB/512 GB SSD/Windows 10 Home) Vostro 5625 Thin and Light Laptop  (16 inch, Titan Grey, 1.9 kg, With MS Office)",Laptop / Adapater / Power Cable,"Titan Grey,Thin and Light Laptop,Everyday Use,AMD,Ryzen 5 Quad Core,16 GB,DDR4,Windows 10 Home"
"DELL G15 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15-5511 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.4 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Dark Shadow Grey,Gaming Laptop,Gaming,Intel,Core i5,16 GB,DDR4,Windows 10"
"ASUS TUF Gaming F15 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) FX577ZE-HN056W Gaming Laptop  (15.6 inch, Jaeger Gray, 2.20 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Jaeger Gray,Gaming Laptop,Gaming,Intel,Core i7,16 GB,DDR5,Windows 11 Home"
"ASUS ROG Strix SCAR 17 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G733ZW-LL139WS Gaming Laptop  (17.3 inch, Off Black, 2.90 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Off Black,Gaming Laptop,Gaming,Intel,Core i9,32 GB,DDR5,Windows 11 Home"
