Interests,Accessibility,Site Name,Sites Visited,Age_Group,Tour_Duration_Pref,Rating_Category,Response_Speed,Accuracy_Level,VR_Quality,Satisfaction_Level
History,False,Eiffel Tower,"Colosseum, Eiffel Tower, Great Wall of China",18-25,Media(5-7h),Medio,Rápido,Media,Buena,Media
Nature,True,Great Wall of China,"Taj Mahal, Great Wall of China, Eiffel Tower",36-45,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Nature, History, Architecture",True,Eiffel Tower,"Taj Mahal, Great Wall of China",46-55,Media(5-7h),Alto,Rápido,Media,Excelente,Alta
"Art, Nature",False,Taj Mahal,"Taj Mahal, Great Wall of China, Eiffel Tower",56+,Media(5-7h),Alto,Lento,Media,Excelente,Alta
Art,False,Great Wall of China,Taj Mahal,46-55,Media(5-7h),Bajo,Rápido,Media,Buena,Media
"Nature, Architecture",True,Eiffel Tower,"Eiffel Tower, Taj Mahal",26-35,Larga(8-10h),Bajo,Rápido,Media,Buena,Media
"Art, Cultural",True,Colosseum,Taj Mahal,36-45,Media(5-7h),Alto,Lento,Media,Buena,Alta
"History, Nature",True,Colosseum,"Colosseum, Great Wall of China, Machu Picchu",26-35,Corta(1-4h),Medio,Lento,Media,Excelente,Media
Cultural,False,Eiffel Tower,"Machu Picchu, Eiffel Tower",56+,Media(5-7h),Alto,Rápido,Alta,Buena,Alta
Nature,True,Colosseum,"Taj Mahal, Colosseum, Machu Picchu",26-35,Media(5-7h),Bajo,Rápido,Baja,Buena,Media
"Nature, Architecture",False,Great Wall of China,Eiffel Tower,56+,Corta(1-4h),Alto,Lento,Alta,Excelente,Alta
Cultural,True,Great Wall of China,"Machu Picchu, Eiffel Tower",46-55,Corta(1-4h),Bajo,Normal,Alta,Buena,Media
Architecture,False,Taj Mahal,"Machu Picchu, Colosseum, Great Wall of China",18-25,Media(5-7h),Medio,Lento,Media,Excelente,Media
"Architecture, Nature",False,Eiffel Tower,Machu Picchu,56+,Corta(1-4h),Alto,Normal,Alta,Excelente,Alta
"Cultural, Nature, Art",True,Machu Picchu,"Taj Mahal, Eiffel Tower, Great Wall of China",36-45,Media(5-7h),Medio,Normal,Alta,Buena,Media
"Art, Architecture",False,Eiffel Tower,Great Wall of China,56+,Media(5-7h),Medio,Lento,Media,Excelente,Media
"Cultural, Art",False,Great Wall of China,"Great Wall of China, Machu Picchu",26-35,Media(5-7h),Medio,Lento,Media,Buena,Alta
History,True,Colosseum,"Taj Mahal, Eiffel Tower",46-55,Corta(1-4h),Bajo,Lento,Media,Excelente,Media
Nature,False,Machu Picchu,"Taj Mahal, Great Wall of China, Eiffel Tower",56+,Media(5-7h),Alto,Rápido,Media,Buena,Alta
Architecture,True,Machu Picchu,"Colosseum, Eiffel Tower, Taj Mahal",26-35,Media(5-7h),Alto,Rápido,Alta,Buena,Alta
"Art, Cultural, Architecture",False,Machu Picchu,"Eiffel Tower, Great Wall of China",46-55,Larga(8-10h),Medio,Normal,Alta,Excelente,Media
"History, Art, Nature",False,Eiffel Tower,Colosseum,46-55,Media(5-7h),Bajo,Normal,Alta,Regular,Media
"Art, Cultural",True,Eiffel Tower,Taj Mahal,36-45,Media(5-7h),Medio,Normal,Alta,Buena,Media
"History, Art, Cultural",True,Great Wall of China,"Machu Picchu, Eiffel Tower",36-45,Media(5-7h),Alto,Rápido,Media,Buena,Alta
"Nature, History, Architecture",False,Eiffel Tower,"Eiffel Tower, Machu Picchu",26-35,Corta(1-4h),Medio,Rápido,Media,Buena,Media
"Architecture, Art, History",False,Colosseum,"Taj Mahal, Colosseum, Machu Picchu",46-55,Corta(1-4h),Medio,Rápido,Media,Buena,Media
"Nature, Art",True,Machu Picchu,"Great Wall of China, Eiffel Tower",36-45,Larga(8-10h),Medio,Lento,Media,Buena,Media
Nature,True,Machu Picchu,"Great Wall of China, Taj Mahal",18-25,Larga(8-10h),Alto,Lento,Media,Excelente,Alta
Architecture,False,Taj Mahal,"Eiffel Tower, Great Wall of China",18-25,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Art, Architecture, Nature",False,Taj Mahal,Colosseum,26-35,Media(5-7h),Medio,Normal,Media,Excelente,Media
"Cultural, Art",False,Taj Mahal,Great Wall of China,56+,Media(5-7h),Bajo,Lento,Media,Buena,Media
History,True,Machu Picchu,Colosseum,56+,Media(5-7h),Medio,Normal,Media,Buena,Media
History,False,Machu Picchu,Great Wall of China,18-25,Larga(8-10h),Alto,Lento,Media,Excelente,Alta
"History, Cultural",True,Eiffel Tower,Taj Mahal,26-35,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Cultural, History, Art",False,Taj Mahal,"Eiffel Tower, Colosseum",26-35,Media(5-7h),Bajo,Lento,Alta,Excelente,Media
"Cultural, Architecture, History",False,Machu Picchu,Great Wall of China,26-35,Corta(1-4h),Medio,Lento,Media,Excelente,Media
"Architecture, Nature, History",False,Colosseum,"Colosseum, Great Wall of China",26-35,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Art, Architecture",False,Great Wall of China,"Machu Picchu, Great Wall of China",46-55,Media(5-7h),Alto,Lento,Media,Buena,Alta
"History, Nature, Architecture",False,Great Wall of China,Eiffel Tower,46-55,Larga(8-10h),Medio,Normal,Alta,Excelente,Media
"Architecture, Nature, History",False,Great Wall of China,Eiffel Tower,46-55,Larga(8-10h),Bajo,Normal,Media,Regular,Media
"Nature, Cultural",True,Eiffel Tower,"Colosseum, Taj Mahal",36-45,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Cultural, Art",False,Taj Mahal,"Great Wall of China, Colosseum, Eiffel Tower",26-35,Media(5-7h),Medio,Lento,Media,Buena,Media
"Nature, Cultural",False,Taj Mahal,Taj Mahal,26-35,Larga(8-10h),Bajo,Lento,Alta,Excelente,Media
Architecture,False,Great Wall of China,Colosseum,26-35,Media(5-7h),Bajo,Rápido,Alta,Buena,Media
"Architecture, Art, Nature",True,Great Wall of China,"Great Wall of China, Colosseum",26-35,Corta(1-4h),Bajo,Rápido,Media,Excelente,Media
History,True,Colosseum,Great Wall of China,18-25,Corta(1-4h),Medio,Normal,Media,Buena,Media
"Architecture, Art",True,Eiffel Tower,"Colosseum, Taj Mahal, Great Wall of China",26-35,Corta(1-4h),Alto,Normal,Media,Excelente,Alta
"Art, Nature, Cultural",True,Great Wall of China,"Eiffel Tower, Taj Mahal",46-55,Corta(1-4h),Alto,Lento,Media,Excelente,Alta
"Nature, History",True,Colosseum,Eiffel Tower,46-55,Corta(1-4h),Medio,Normal,Media,Excelente,Media
"Nature, Art",False,Eiffel Tower,Colosseum,36-45,Larga(8-10h),Alto,Normal,Alta,Buena,Alta
"Cultural, Art, History",False,Eiffel Tower,"Machu Picchu, Eiffel Tower, Great Wall of China",26-35,Larga(8-10h),Alto,Lento,Alta,Excelente,Alta
"Art, Nature",True,Great Wall of China,Taj Mahal,46-55,Media(5-7h),Medio,Lento,Alta,Buena,Media
"Architecture, Nature",False,Colosseum,Eiffel Tower,36-45,Larga(8-10h),Medio,Rápido,Alta,Buena,Media
"Architecture, History",False,Eiffel Tower,Machu Picchu,18-25,Corta(1-4h),Medio,Normal,Media,Buena,Media
"Nature, Cultural, History",True,Eiffel Tower,Great Wall of China,18-25,Corta(1-4h),Alto,Lento,Alta,Buena,Alta
"Nature, Cultural, Art",False,Great Wall of China,"Machu Picchu, Eiffel Tower, Colosseum",56+,Corta(1-4h),Medio,Lento,Media,Buena,Media
"Art, History",False,Colosseum,"Great Wall of China, Taj Mahal",46-55,Media(5-7h),Medio,Normal,Media,Buena,Media
"Cultural, History",True,Taj Mahal,Taj Mahal,56+,Media(5-7h),Medio,Lento,Baja,Buena,Media
Art,True,Taj Mahal,"Great Wall of China, Taj Mahal",46-55,Media(5-7h),Alto,Normal,Media,Buena,Alta
"Cultural, Nature",False,Machu Picchu,Machu Picchu,18-25,Corta(1-4h),Alto,Normal,Media,Buena,Alta
"Architecture, Art, History",True,Eiffel Tower,"Taj Mahal, Eiffel Tower, Colosseum",26-35,Larga(8-10h),Medio,Lento,Media,Buena,Media
"Nature, History, Architecture",False,Taj Mahal,"Great Wall of China, Eiffel Tower, Taj Mahal",56+,Media(5-7h),Medio,Lento,Alta,Excelente,Media
History,False,Eiffel Tower,"Taj Mahal, Great Wall of China",18-25,Larga(8-10h),Medio,Rápido,Baja,Buena,Media
"Art, Cultural",False,Great Wall of China,"Great Wall of China, Colosseum, Eiffel Tower",56+,Media(5-7h),Alto,Rápido,Media,Buena,Alta
"History, Art, Nature",False,Taj Mahal,Colosseum,56+,Media(5-7h),Medio,Lento,Alta,Buena,Media
Art,False,Great Wall of China,"Taj Mahal, Great Wall of China, Colosseum",56+,Corta(1-4h),Alto,Rápido,Media,Excelente,Alta
"History, Art, Cultural",False,Eiffel Tower,"Great Wall of China, Colosseum",56+,Corta(1-4h),Bajo,Lento,Media,Buena,Media
History,False,Eiffel Tower,"Machu Picchu, Colosseum",36-45,Corta(1-4h),Alto,Lento,Media,Buena,Alta
Cultural,False,Taj Mahal,"Great Wall of China, Eiffel Tower",36-45,Media(5-7h),Bajo,Lento,Alta,Excelente,Media
"History, Architecture, Cultural",False,Great Wall of China,"Colosseum, Eiffel Tower",36-45,Media(5-7h),Alto,Rápido,Media,Buena,Alta
History,False,Colosseum,Colosseum,36-45,Media(5-7h),Alto,Lento,Alta,Excelente,Alta
"History, Art, Architecture",True,Eiffel Tower,"Colosseum, Taj Mahal, Eiffel Tower",56+,Media(5-7h),Bajo,Rápido,Media,Excelente,Media
"Cultural, Art, History",True,Machu Picchu,"Colosseum, Machu Picchu",18-25,Media(5-7h),Bajo,Rápido,Media,Excelente,Media
History,False,Taj Mahal,Machu Picchu,56+,Media(5-7h),Medio,Lento,Media,Buena,Media
"Architecture, Cultural",False,Colosseum,"Colosseum, Great Wall of China, Eiffel Tower",46-55,Corta(1-4h),Bajo,Rápido,Alta,Buena,Media
"Architecture, Nature",True,Great Wall of China,Great Wall of China,18-25,Media(5-7h),Alto,Normal,Baja,Buena,Alta
"Cultural, History, Nature",False,Taj Mahal,Taj Mahal,36-45,Corta(1-4h),Medio,Lento,Media,Buena,Media
"History, Nature",True,Colosseum,"Machu Picchu, Eiffel Tower",56+,Corta(1-4h),Medio,Lento,Media,Buena,Media
"Nature, History, Cultural",True,Eiffel Tower,"Colosseum, Taj Mahal",46-55,Larga(8-10h),Medio,Normal,Media,Buena,Media
"History, Art",False,Eiffel Tower,"Great Wall of China, Taj Mahal",56+,Larga(8-10h),Alto,Normal,Media,Buena,Alta
Cultural,True,Colosseum,"Machu Picchu, Eiffel Tower, Taj Mahal",56+,Media(5-7h),Alto,Normal,Media,Buena,Alta
Cultural,False,Taj Mahal,"Great Wall of China, Machu Picchu, Eiffel Tower",56+,Media(5-7h),Alto,Rápido,Media,Excelente,Alta
"Architecture, Cultural",True,Taj Mahal,"Great Wall of China, Eiffel Tower",26-35,Media(5-7h),Bajo,Lento,Media,Excelente,Media
"Art, Architecture, Nature",False,Taj Mahal,Great Wall of China,56+,Media(5-7h),Alto,Lento,Alta,Excelente,Alta
"Architecture, History, Cultural",True,Machu Picchu,"Great Wall of China, Machu Picchu",56+,Media(5-7h),Medio,Rápido,Media,Buena,Media
"Art, Architecture",True,Great Wall of China,"Colosseum, Great Wall of China, Machu Picchu",56+,Larga(8-10h),Bajo,Normal,Media,Buena,Media
"History, Cultural, Architecture",False,Colosseum,Taj Mahal,46-55,Corta(1-4h),Alto,Normal,Media,Excelente,Alta
Nature,False,Colosseum,"Machu Picchu, Eiffel Tower, Taj Mahal",26-35,Corta(1-4h),Bajo,Normal,Media,Buena,Media
"Art, Nature",True,Colosseum,Colosseum,56+,Corta(1-4h),Bajo,Lento,Media,Buena,Media
"Cultural, History",True,Taj Mahal,"Eiffel Tower, Great Wall of China, Colosseum",46-55,Larga(8-10h),Bajo,Normal,Media,Buena,Media
"Architecture, Cultural, History",True,Machu Picchu,"Great Wall of China, Eiffel Tower, Taj Mahal",36-45,Corta(1-4h),Alto,Lento,Media,Buena,Alta
"Cultural, History, Nature",True,Taj Mahal,Colosseum,18-25,Larga(8-10h),Medio,Normal,Media,Excelente,Media
"Cultural, History",True,Colosseum,Colosseum,18-25,Corta(1-4h),Bajo,Lento,Alta,Buena,Media
"History, Art, Nature",True,Eiffel Tower,"Colosseum, Great Wall of China",26-35,Media(5-7h),Alto,Rápido,Media,Excelente,Alta
"Cultural, Architecture, Nature",False,Machu Picchu,"Colosseum, Great Wall of China",46-55,Media(5-7h),Alto,Normal,Media,Excelente,Alta
History,True,Eiffel Tower,"Colosseum, Great Wall of China, Machu Picchu",26-35,Larga(8-10h),Bajo,Lento,Media,Buena,Media
Art,True,Eiffel Tower,Taj Mahal,56+,Larga(8-10h),Medio,Lento,Media,Buena,Media
Architecture,False,Colosseum,"Machu Picchu, Taj Mahal, Colosseum",26-35,Corta(1-4h),Medio,Lento,Media,Excelente,Media
Architecture,True,Eiffel Tower,"Eiffel Tower, Great Wall of China, Taj Mahal",56+,Corta(1-4h),Bajo,Lento,Alta,Buena,Media
"Nature, Art, Cultural",True,Great Wall of China,"Taj Mahal, Great Wall of China",18-25,Corta(1-4h),Bajo,Lento,Alta,Buena,Media
Art,False,Machu Picchu,"Great Wall of China, Taj Mahal",46-55,Media(5-7h),Alto,Lento,Media,Buena,Alta
Nature,False,Machu Picchu,Taj Mahal,56+,Media(5-7h),Alto,Lento,Baja,Buena,Alta
"Architecture, History",True,Great Wall of China,"Great Wall of China, Machu Picchu",26-35,Media(5-7h),Medio,Lento,Alta,Buena,Media
"Cultural, Architecture, History",False,Eiffel Tower,"Taj Mahal, Colosseum, Eiffel Tower",18-25,Media(5-7h),Alto,Rápido,Media,Excelente,Alta
"Architecture, Cultural",True,Machu Picchu,"Great Wall of China, Taj Mahal",36-45,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Cultural, History",True,Colosseum,"Great Wall of China, Eiffel Tower, Colosseum",46-55,Larga(8-10h),Medio,Rápido,Baja,Excelente,Alta
"Architecture, Cultural, History",True,Colosseum,"Machu Picchu, Eiffel Tower, Taj Mahal",36-45,Media(5-7h),Medio,Normal,Media,Buena,Media
History,True,Eiffel Tower,"Machu Picchu, Great Wall of China",18-25,Media(5-7h),Alto,Normal,Media,Buena,Alta
"Architecture, Nature, Cultural",False,Taj Mahal,"Great Wall of China, Taj Mahal, Colosseum",18-25,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Nature, History",True,Machu Picchu,"Machu Picchu, Taj Mahal, Colosseum",18-25,Corta(1-4h),Bajo,Normal,Media,Buena,Media
"Cultural, Architecture, Nature",True,Great Wall of China,Taj Mahal,36-45,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Cultural, History",True,Machu Picchu,Eiffel Tower,18-25,Larga(8-10h),Medio,Rápido,Media,Buena,Media
Art,True,Colosseum,Taj Mahal,36-45,Media(5-7h),Alto,Normal,Media,Excelente,Alta
Nature,True,Machu Picchu,"Great Wall of China, Eiffel Tower",18-25,Media(5-7h),Alto,Rápido,Baja,Excelente,Alta
Art,True,Machu Picchu,Machu Picchu,26-35,Corta(1-4h),Medio,Normal,Alta,Excelente,Media
"Architecture, Art, Nature",True,Machu Picchu,Colosseum,56+,Media(5-7h),Medio,Lento,Alta,Excelente,Media
"History, Architecture",False,Machu Picchu,"Colosseum, Machu Picchu",56+,Corta(1-4h),Medio,Normal,Media,Excelente,Media
"Cultural, Architecture, Nature",True,Eiffel Tower,Eiffel Tower,56+,Media(5-7h),Medio,Rápido,Baja,Excelente,Media
Art,True,Colosseum,Machu Picchu,26-35,Media(5-7h),Alto,Normal,Alta,Excelente,Alta
Architecture,True,Colosseum,"Colosseum, Great Wall of China, Machu Picchu",56+,Larga(8-10h),Alto,Rápido,Alta,Buena,Alta
Architecture,False,Eiffel Tower,"Taj Mahal, Colosseum",26-35,Larga(8-10h),Alto,Lento,Alta,Buena,Alta
"Art, History, Nature",True,Taj Mahal,"Taj Mahal, Colosseum, Machu Picchu",56+,Larga(8-10h),Alto,Lento,Media,Buena,Alta
"Architecture, Nature, History",False,Machu Picchu,Great Wall of China,18-25,Corta(1-4h),Bajo,Lento,Media,Buena,Media
Nature,True,Machu Picchu,"Taj Mahal, Colosseum",26-35,Larga(8-10h),Medio,Normal,Alta,Buena,Media
Art,True,Eiffel Tower,Machu Picchu,46-55,Corta(1-4h),Bajo,Normal,Alta,Excelente,Media
"Nature, History, Cultural",False,Taj Mahal,"Colosseum, Eiffel Tower, Great Wall of China",26-35,Corta(1-4h),Medio,Rápido,Media,Excelente,Media
Cultural,False,Taj Mahal,Taj Mahal,36-45,Media(5-7h),Medio,Lento,Media,Buena,Media
"Cultural, Nature, History",False,Eiffel Tower,Machu Picchu,18-25,Media(5-7h),Medio,Lento,Media,Excelente,Media
"History, Architecture",False,Taj Mahal,Great Wall of China,56+,Media(5-7h),Medio,Normal,Media,Buena,Media
"Art, Nature, Architecture",True,Taj Mahal,Eiffel Tower,36-45,Media(5-7h),Bajo,Lento,Media,Buena,Media
"Nature, Cultural, Art",False,Colosseum,Taj Mahal,56+,Media(5-7h),Medio,Rápido,Media,Excelente,Media
"Art, Cultural, Nature",True,Eiffel Tower,"Colosseum, Machu Picchu",36-45,Corta(1-4h),Bajo,Lento,Media,Regular,Media
Nature,True,Machu Picchu,Eiffel Tower,56+,Corta(1-4h),Medio,Normal,Media,Excelente,Media
"History, Cultural",False,Taj Mahal,"Colosseum, Great Wall of China, Machu Picchu",46-55,Larga(8-10h),Bajo,Normal,Alta,Excelente,Media
"Nature, Architecture, History",True,Taj Mahal,"Colosseum, Taj Mahal, Machu Picchu",36-45,Media(5-7h),Alto,Normal,Media,Excelente,Alta
"Architecture, Cultural, Art",False,Colosseum,Eiffel Tower,36-45,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"History, Art",False,Great Wall of China,"Eiffel Tower, Machu Picchu",18-25,Corta(1-4h),Medio,Rápido,Alta,Buena,Media
Nature,True,Eiffel Tower,"Machu Picchu, Colosseum, Eiffel Tower",26-35,Corta(1-4h),Bajo,Normal,Alta,Regular,Media
"Architecture, Nature, Cultural",False,Machu Picchu,"Eiffel Tower, Great Wall of China",36-45,Corta(1-4h),Medio,Rápido,Media,Buena,Media
Art,True,Colosseum,"Colosseum, Taj Mahal",36-45,Media(5-7h),Alto,Lento,Baja,Buena,Alta
"History, Architecture",False,Great Wall of China,"Machu Picchu, Eiffel Tower",18-25,Corta(1-4h),Medio,Normal,Alta,Buena,Media
"Art, Cultural, Architecture",True,Great Wall of China,"Taj Mahal, Eiffel Tower",56+,Corta(1-4h),Medio,Rápido,Media,Excelente,Media
"Cultural, Nature, Architecture",False,Colosseum,Colosseum,46-55,Corta(1-4h),Alto,Lento,Media,Buena,Alta
Art,True,Eiffel Tower,"Machu Picchu, Great Wall of China, Taj Mahal",56+,Corta(1-4h),Medio,Rápido,Media,Buena,Media
Art,True,Great Wall of China,"Taj Mahal, Eiffel Tower",46-55,Corta(1-4h),Medio,Normal,Media,Excelente,Media
"Architecture, Cultural, Nature",False,Taj Mahal,Great Wall of China,36-45,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Architecture, Art, History",False,Colosseum,"Colosseum, Great Wall of China",56+,Corta(1-4h),Medio,Normal,Alta,Excelente,Media
History,True,Taj Mahal,Taj Mahal,26-35,Corta(1-4h),Alto,Normal,Media,Excelente,Alta
"Cultural, History, Art",True,Machu Picchu,"Colosseum, Great Wall of China, Eiffel Tower",36-45,Corta(1-4h),Bajo,Rápido,Media,Excelente,Media
"History, Art",False,Eiffel Tower,"Great Wall of China, Colosseum, Machu Picchu",56+,Media(5-7h),Alto,Normal,Media,Excelente,Alta
"Nature, Art",True,Eiffel Tower,"Taj Mahal, Great Wall of China",26-35,Corta(1-4h),Medio,Rápido,Media,Buena,Media
"History, Architecture",True,Great Wall of China,"Machu Picchu, Great Wall of China, Colosseum",46-55,Media(5-7h),Medio,Lento,Alta,Excelente,Media
"Art, Architecture, History",False,Great Wall of China,Colosseum,56+,Media(5-7h),Medio,Lento,Alta,Excelente,Media
Nature,False,Eiffel Tower,Machu Picchu,36-45,Larga(8-10h),Medio,Lento,Alta,Buena,Media
"Architecture, Art",False,Great Wall of China,Eiffel Tower,36-45,Corta(1-4h),Medio,Rápido,Alta,Buena,Media
"Nature, Art",True,Colosseum,"Machu Picchu, Eiffel Tower, Great Wall of China",18-25,Larga(8-10h),Medio,Lento,Media,Excelente,Alta
Art,False,Machu Picchu,"Taj Mahal, Eiffel Tower, Great Wall of China",36-45,Media(5-7h),Medio,Rápido,Alta,Excelente,Media
"Art, Cultural, Nature",True,Colosseum,"Taj Mahal, Colosseum",56+,Corta(1-4h),Alto,Lento,Media,Buena,Alta
Art,True,Eiffel Tower,"Great Wall of China, Taj Mahal",36-45,Media(5-7h),Alto,Lento,Media,Buena,Alta
Nature,False,Machu Picchu,"Taj Mahal, Great Wall of China, Machu Picchu",18-25,Media(5-7h),Bajo,Rápido,Alta,Excelente,Media
Art,False,Eiffel Tower,Machu Picchu,26-35,Media(5-7h),Medio,Lento,Alta,Excelente,Media
"Nature, Cultural",True,Colosseum,"Taj Mahal, Eiffel Tower",26-35,Media(5-7h),Medio,Normal,Alta,Buena,Media
"Nature, History, Art",True,Great Wall of China,"Machu Picchu, Taj Mahal",26-35,Media(5-7h),Bajo,Normal,Media,Buena,Media
"Cultural, Architecture, Art",True,Colosseum,"Eiffel Tower, Taj Mahal, Great Wall of China",56+,Media(5-7h),Alto,Lento,Media,Excelente,Alta
Art,True,Machu Picchu,"Eiffel Tower, Great Wall of China",26-35,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Architecture, Art, Nature",True,Eiffel Tower,"Great Wall of China, Machu Picchu, Eiffel Tower",56+,Media(5-7h),Bajo,Lento,Alta,Excelente,Media
"Nature, History",True,Colosseum,Eiffel Tower,56+,Media(5-7h),Alto,Rápido,Media,Regular,Alta
"Architecture, Art, Nature",False,Taj Mahal,Eiffel Tower,18-25,Media(5-7h),Alto,Normal,Media,Excelente,Alta
Nature,False,Eiffel Tower,"Taj Mahal, Great Wall of China",56+,Corta(1-4h),Alto,Lento,Alta,Excelente,Alta
"Cultural, Art",True,Colosseum,Great Wall of China,18-25,Corta(1-4h),Medio,Normal,Media,Excelente,Media
"Nature, Cultural, Architecture",True,Great Wall of China,"Taj Mahal, Machu Picchu",36-45,Corta(1-4h),Medio,Rápido,Baja,Buena,Media
Art,False,Colosseum,"Great Wall of China, Machu Picchu, Eiffel Tower",18-25,Media(5-7h),Alto,Rápido,Alta,Buena,Alta
"Architecture, History",True,Colosseum,"Taj Mahal, Great Wall of China, Eiffel Tower",36-45,Larga(8-10h),Bajo,Normal,Media,Excelente,Media
Cultural,False,Eiffel Tower,Colosseum,56+,Corta(1-4h),Bajo,Rápido,Baja,Regular,Media
"Architecture, History, Cultural",True,Taj Mahal,Taj Mahal,56+,Media(5-7h),Medio,Rápido,Alta,Excelente,Media
"Nature, Cultural",False,Taj Mahal,"Colosseum, Taj Mahal, Machu Picchu",46-55,Corta(1-4h),Medio,Normal,Alta,Buena,Media
Art,True,Great Wall of China,"Great Wall of China, Eiffel Tower, Colosseum",36-45,Media(5-7h),Alto,Lento,Alta,Buena,Alta
"Art, Cultural",False,Eiffel Tower,Colosseum,46-55,Corta(1-4h),Bajo,Lento,Media,Excelente,Media
Nature,False,Taj Mahal,"Colosseum, Taj Mahal",56+,Larga(8-10h),Alto,Rápido,Alta,Excelente,Alta
"Nature, Architecture, History",True,Machu Picchu,Taj Mahal,46-55,Corta(1-4h),Medio,Normal,Media,Buena,Media
"Cultural, Art",True,Taj Mahal,Eiffel Tower,26-35,Media(5-7h),Medio,Lento,Media,Buena,Media
"Art, History",False,Machu Picchu,"Colosseum, Taj Mahal, Great Wall of China",26-35,Media(5-7h),Alto,Rápido,Alta,Excelente,Alta
