antecedents,consequents,support,confidence,lift
Ryzen 5 Hexa Core,"8 GB, AMD",0.071,0.7791,5.3293
Ryzen 5 Hexa Core,"8 GB, AMD, DDR4, Processing & Multitasking",0.0519,0.5698,5.3254
Ryzen 5 Hexa Core,"8 GB, AMD, DDR4",0.0689,0.7558,5.2851
"8 GB, Gaming","DDR4, Gaming Laptop, Windows 10 Home",0.0646,0.6932,5.1934
"Gaming Laptop, Processing & Multitasking","DDR4, Gaming, Windows 10 Home",0.0731,0.6832,5.1593
"DDR4, Gaming, Windows 10 Home","Gaming Laptop, Processing & Multitasking",0.0731,0.552,5.1593
"8 GB, DDR4, Gaming","Gaming Laptop, Windows 10 Home",0.0646,0.6932,5.1525
"8 GB, Gaming","Gaming Laptop, Windows 10 Home",0.0646,0.6932,5.1525
"Processing & Multitasking, Ryzen 5 Hexa Core","8 GB, AMD",0.054,0.75,5.1304
"8 GB, DDR4, Gaming Laptop","Gaming, Windows 10 Home",0.0646,0.7262,5.1158
Ryzen 5 Hexa Core,"AMD, Thin and Light Laptop",0.053,0.5814,5.0818
"8 GB, Gaming Laptop","Gaming, Windows 10 Home",0.0646,0.7176,5.0557
"Processing & Multitasking, Ryzen 5 Hexa Core","8 GB, AMD, DDR4",0.0519,0.7206,5.0388
"DDR4, Gaming Laptop, Windows 10 Home","Gaming, Processing & Multitasking",0.0731,0.5476,5.019
"Gaming, Processing & Multitasking","DDR4, Gaming Laptop, Windows 10 Home",0.0731,0.6699,5.019
"DDR4, Gaming Laptop, Processing & Multitasking","Gaming, Windows 10 Home",0.0731,0.7113,5.0112
"Gaming, Windows 10 Home","DDR4, Gaming Laptop, Processing & Multitasking",0.0731,0.5149,5.0112
"Core i7, DDR4","Gaming Laptop, Intel",0.0519,0.6364,5.0061
"Gaming, Processing & Multitasking","Gaming Laptop, Windows 10 Home",0.0731,0.6699,4.9794
"Gaming Laptop, Windows 10 Home","Gaming, Processing & Multitasking",0.0731,0.5433,4.9794
"Ryzen 5 Hexa Core, Thin and Light Laptop","AMD, Processing & Multitasking",0.0519,0.98,4.9209
"8 GB, Gaming Laptop, Windows 10 Home","DDR4, Gaming",0.0646,0.9683,4.8879
"Gaming Laptop, Processing & Multitasking","Gaming, Windows 10 Home",0.0731,0.6832,4.8128
"Gaming, Windows 10 Home","Gaming Laptop, Processing & Multitasking",0.0731,0.5149,4.8128
"8 GB, Gaming Laptop","DDR4, Gaming",0.0858,0.9529,4.8106
"DDR4, Gaming, Intel","Gaming Laptop, Windows 10 Home",0.0731,0.6449,4.7933
"Gaming Laptop, Windows 10 Home","DDR4, Gaming, Intel",0.0731,0.5433,4.7933
"8 GB, Gaming, Windows 10 Home","DDR4, Gaming Laptop",0.0646,0.9683,4.7855
"Gaming Laptop, Intel, Windows 10 Home","DDR4, Gaming",0.0731,0.9452,4.7715
"Gaming Laptop, Windows 10 Home","DDR4, Gaming",0.1271,0.9449,4.7699
"DDR4, Gaming","Gaming Laptop, Windows 10 Home",0.1271,0.6417,4.7699
"AMD, Gaming Laptop, Windows 10 Home","DDR4, Gaming",0.054,0.9444,4.7677
"AMD, DDR4, Gaming","Gaming Laptop, Windows 10 Home",0.054,0.6375,4.7386
"Gaming, Intel, Windows 10 Home","DDR4, Gaming Laptop",0.0731,0.9583,4.7365
"Gaming Laptop, Processing & Multitasking","DDR4, Gaming, Intel",0.0572,0.5347,4.7169
"DDR4, Gaming, Intel","Gaming Laptop, Processing & Multitasking",0.0572,0.5047,4.7169
"16 GB, Gaming Laptop, Windows 10 Home","DDR4, Gaming",0.0625,0.9219,4.6537
"Gaming Laptop, Processing & Multitasking, Windows 10 Home","DDR4, Gaming",0.0731,0.9079,4.5832
"DDR4, Gaming Laptop, Intel","Gaming, Processing & Multitasking",0.0572,0.5,4.5825
"Gaming, Processing & Multitasking","DDR4, Gaming Laptop, Intel",0.0572,0.5243,4.5825
"8 GB, Gaming","DDR4, Gaming Laptop",0.0858,0.9205,4.5493
"DDR4, Gaming, Processing & Multitasking","Gaming Laptop, Intel",0.0572,0.5745,4.5191
"Core i7, Gaming",Gaming Laptop,0.0519,1.0,4.5167
"Core i7, Gaming, Intel",Gaming Laptop,0.0519,1.0,4.5167
"Gaming, Windows 10 Home","DDR4, Gaming Laptop, Intel",0.0731,0.5149,4.5008
"DDR4, Gaming Laptop, Intel","Gaming, Windows 10 Home",0.0731,0.6389,4.5008
"16 GB, DDR4, Gaming","Gaming Laptop, Intel",0.0593,0.5714,4.4952
"DDR4, Gaming Laptop, Processing & Multitasking","Gaming, Intel",0.0572,0.5567,4.4917
"16 GB, DDR4, Gaming","Gaming Laptop, Windows 10 Home",0.0625,0.602,4.475
"16 GB, Gaming, Intel",Gaming Laptop,0.0657,0.9841,4.4451
"16 GB, DDR4, Gaming, Intel",Gaming Laptop,0.0593,0.9825,4.4375
"DDR4, Gaming Laptop","Gaming, Windows 10 Home",0.1271,0.6283,4.426
"Gaming, Windows 10 Home","DDR4, Gaming Laptop",0.1271,0.8955,4.426
"AMD, Gaming Laptop","DDR4, Gaming",0.0826,0.8764,4.4242
"8 GB, DDR4, Gaming Laptop, Windows 10 Home",Gaming,0.0646,0.9839,4.4227
"DDR4, Gaming Laptop, Windows 10 Home","Gaming, Intel",0.0731,0.5476,4.4184
"Gaming, Intel","DDR4, Gaming Laptop, Windows 10 Home",0.0731,0.5897,4.4184
"16 GB, Gaming, Windows 10 Home","DDR4, Gaming Laptop",0.0625,0.8939,4.4182
"AMD, DDR4, Gaming",Gaming Laptop,0.0826,0.975,4.4038
"16 GB, Gaming, Intel","DDR4, Gaming Laptop",0.0593,0.8889,4.3933
"Gaming Laptop, Windows 10 Home","Gaming, Intel",0.0731,0.5433,4.3836
"Gaming, Intel","Gaming Laptop, Windows 10 Home",0.0731,0.5897,4.3836
"16 GB, DDR4, Gaming",Gaming Laptop,0.1006,0.9694,4.3785
"Gaming, Intel, Processing & Multitasking","DDR4, Gaming Laptop",0.0572,0.8852,4.3752
"8 GB, DDR4, Gaming, Windows 10 Home",Gaming Laptop,0.0646,0.9683,4.3734
"8 GB, Gaming, Windows 10 Home",Gaming Laptop,0.0646,0.9683,4.3734
"16 GB, Gaming","DDR4, Gaming Laptop, Intel",0.0593,0.5,4.3704
"DDR4, Gaming Laptop, Intel","16 GB, Gaming",0.0593,0.5185,4.3704
"Gaming, Windows 11 Home",Gaming Laptop,0.0593,0.9655,4.361
"16 GB, Gaming","Gaming Laptop, Intel",0.0657,0.5536,4.3548
"Gaming Laptop, Intel","16 GB, Gaming",0.0657,0.5167,4.3548
"8 GB, Gaming Laptop, Windows 10 Home",Gaming,0.0646,0.9683,4.3525
"AMD, DDR4, Gaming, Windows 10 Home",Gaming Laptop,0.054,0.9623,4.3463
"Gaming Laptop, Intel","DDR4, Gaming, Windows 10 Home",0.0731,0.575,4.3424
"DDR4, Gaming, Windows 10 Home","Gaming Laptop, Intel",0.0731,0.552,4.3424
Gaming Laptop,"DDR4, Gaming, Windows 10 Home",0.1271,0.5742,4.3361
"DDR4, Gaming, Windows 10 Home",Gaming Laptop,0.1271,0.96,4.3361
"8 GB, DDR4, Gaming Laptop",Gaming,0.0858,0.9643,4.3347
"AMD, DDR4, Gaming Laptop","Gaming, Windows 10 Home",0.054,0.6145,4.3287
"DDR4, Gaming, Intel, Windows 10 Home",Gaming Laptop,0.0731,0.9583,4.3285
"Gaming, Intel, Windows 10 Home",Gaming Laptop,0.0731,0.9583,4.3285
"AMD, Gaming Laptop","DDR4, Gaming, Windows 10 Home",0.054,0.573,4.3276
"AMD, DDR4, Gaming Laptop, Windows 10 Home",Gaming,0.054,0.9623,4.3256
"Gaming Laptop, Processing & Multitasking","Gaming, Intel",0.0572,0.5347,4.3138
"16 GB, DDR4, Gaming, Windows 10 Home",Gaming Laptop,0.0625,0.9516,4.2982
"8 GB, Gaming Laptop",Gaming,0.0858,0.9529,4.2837
"DDR4, Gaming Laptop, Windows 10 Home",Gaming,0.1271,0.9524,4.2812
Gaming,"DDR4, Gaming Laptop, Windows 10 Home",0.1271,0.5714,4.2812
"DDR4, Gaming",Gaming Laptop,0.1875,0.9465,4.2752
Gaming Laptop,"DDR4, Gaming",0.1875,0.8469,4.2752
"DDR4, Gaming, Processing & Multitasking, Windows 10 Home",Gaming Laptop,0.0731,0.9452,4.2693
"16 GB, DDR4, Gaming Laptop","Gaming, Intel",0.0593,0.5283,4.2625
"Gaming Laptop, Intel, Windows 10 Home",Gaming,0.0731,0.9452,4.2489
"DDR4, Gaming Laptop, Intel, Windows 10 Home",Gaming,0.0731,0.9452,4.2489
"Gaming Laptop, Processing & Multitasking","DDR4, Gaming",0.09,0.8416,4.2484
"Gaming Laptop, Windows 10 Home",Gaming,0.1271,0.9449,4.2475
Gaming,"Gaming Laptop, Windows 10 Home",0.1271,0.5714,4.2475
"AMD, Gaming Laptop, Windows 10 Home",Gaming,0.054,0.9444,4.2455
"Gaming, Intel","16 GB, Gaming Laptop",0.0657,0.5299,4.2393
"16 GB, Gaming Laptop","Gaming, Intel",0.0657,0.5254,4.2393
"Core i7, Gaming Laptop","16 GB, Intel",0.0508,0.8571,4.2364
Gaming Laptop,"16 GB, Gaming",0.1112,0.5024,4.2344
"16 GB, Gaming",Gaming Laptop,0.1112,0.9375,4.2344
"AMD, DDR4, Gaming Laptop",Gaming,0.0826,0.9398,4.2244
Gaming Laptop,"Gaming, Intel",0.1155,0.5215,4.2079
"Gaming, Intel",Gaming Laptop,0.1155,0.9316,4.2079
"Gaming Laptop, Intel, Processing & Multitasking","DDR4, Gaming",0.0572,0.8308,4.1938
"16 GB, Gaming","DDR4, Gaming Laptop",0.1006,0.8482,4.1922
"DDR4, Gaming, Intel","16 GB, Gaming Laptop",0.0593,0.5234,4.1869
"Gaming, Intel","DDR4, Gaming Laptop",0.1049,0.8462,4.182
"DDR4, Gaming Laptop","Gaming, Intel",0.1049,0.5183,4.182
"DDR4, Gaming, Intel",Gaming Laptop,0.1049,0.9252,4.179
Gaming,"DDR4, Gaming Laptop",0.1875,0.8429,4.1657
"DDR4, Gaming Laptop",Gaming,0.1875,0.9267,4.1657
"DDR4, Gaming","Gaming Laptop, Intel",0.1049,0.5294,4.1647
"Gaming Laptop, Intel","DDR4, Gaming",0.1049,0.825,4.1647
"Core i7, Processing & Multitasking","16 GB, Intel",0.0731,0.8415,4.1589
"Gaming, Processing & Multitasking, Windows 10 Home","DDR4, Gaming Laptop",0.0731,0.8415,4.1589
"8 GB, Gaming",Gaming Laptop,0.0858,0.9205,4.1575
"8 GB, DDR4, Gaming",Gaming Laptop,0.0858,0.9205,4.1575
"AMD, Gaming","DDR4, Gaming Laptop",0.0826,0.8387,4.1452
"16 GB, Gaming Laptop, Windows 10 Home",Gaming,0.0625,0.9219,4.144
"16 GB, DDR4, Gaming Laptop, Windows 10 Home",Gaming,0.0625,0.9219,4.144
"AMD, Gaming Laptop",Gaming,0.0869,0.9213,4.1417
"DDR4, Gaming Laptop, Processing & Multitasking, Windows 10 Home",Gaming,0.0731,0.92,4.1356
Core i7,"16 GB, Intel",0.0975,0.8364,4.1337
"Gaming, Processing & Multitasking","Gaming Laptop, Intel",0.0572,0.5243,4.1243
"DDR4, Gaming Laptop, Intel",Gaming,0.1049,0.9167,4.1206
"8 GB, Ryzen 5 Hexa Core","AMD, DDR4, Processing & Multitasking",0.0519,0.7313,4.1095
"AMD, Gaming","DDR4, Gaming Laptop, Windows 10 Home",0.054,0.5484,4.1086
Gaming Laptop,Gaming,0.2023,0.9139,4.1081
Gaming,Gaming Laptop,0.2023,0.9095,4.1081
"16 GB, Core i7","Gaming Laptop, Intel",0.0508,0.5217,4.1043
"DDR4, Gaming, Processing & Multitasking",Gaming Laptop,0.09,0.9043,4.0843
"Gaming Laptop, Intel",Gaming,0.1155,0.9083,4.0832
Gaming,"Gaming Laptop, Intel",0.1155,0.519,4.0832
"Gaming Laptop, Processing & Multitasking, Windows 10 Home",Gaming,0.0731,0.9079,4.0812
"Gaming, Processing & Multitasking","DDR4, Gaming Laptop",0.09,0.8252,4.0787
"AMD, Gaming","Gaming Laptop, Windows 10 Home",0.054,0.5484,4.0762
"AMD, Gaming, Windows 10 Home","DDR4, Gaming Laptop",0.054,0.8226,4.0655
"DDR4, Gaming","16 GB, Gaming Laptop",0.1006,0.508,4.0642
"16 GB, Gaming Laptop","DDR4, Gaming",0.1006,0.8051,4.0642
Ryzen 5 Hexa Core,"AMD, DDR4, Processing & Multitasking",0.0657,0.7209,4.0509
"Gaming Laptop, Intel","Gaming, Windows 10 Home",0.0731,0.575,4.0507
"Gaming, Windows 10 Home","Gaming Laptop, Intel",0.0731,0.5149,4.0507
"Gaming, Windows 10 Home",Gaming Laptop,0.1271,0.8955,4.0448
Gaming Laptop,"Gaming, Windows 10 Home",0.1271,0.5742,4.0448
"16 GB, Gaming, Windows 10 Home",Gaming Laptop,0.0625,0.8939,4.0377
"AMD, Gaming Laptop","Gaming, Windows 10 Home",0.054,0.573,4.0369
"16 GB, DDR4, Gaming Laptop",Gaming,0.1006,0.8962,4.0288
Travel & Business,"DDR4, Everyday Use",0.0508,0.8421,4.0149
Core i7,"Gaming Laptop, Intel",0.0593,0.5091,4.0048
Travel & Business,Everyday Use,0.053,0.8772,4.0003
Gaming,"16 GB, Gaming Laptop",0.1112,0.5,4.0
"16 GB, Gaming Laptop",Gaming,0.1112,0.8898,4.0
"DDR4, Gaming, Intel, Processing & Multitasking",Gaming Laptop,0.0572,0.8852,3.9984
"Gaming, Intel, Processing & Multitasking",Gaming Laptop,0.0572,0.8852,3.9984
"DDR4, Entertainment, Processing & Multitasking",Everyday Use,0.0519,0.875,3.9903
"AMD, Gaming",Gaming Laptop,0.0869,0.8817,3.9825
"DDR4, Travel & Business",Everyday Use,0.0508,0.8727,3.98
Ryzen 5 Hexa Core,"AMD, Processing & Multitasking",0.072,0.7907,3.9703
"8 GB, Ryzen 5 Hexa Core","AMD, DDR4",0.0689,0.9701,3.9646
"16 GB, Gaming","DDR4, Gaming Laptop, Windows 10 Home",0.0625,0.5268,3.9467
"DDR4, Gaming Laptop, Processing & Multitasking",Gaming,0.09,0.8763,3.9391
"Core i7, Gaming Laptop, Intel",Gaming,0.0519,0.875,3.9333
"Core i7, Gaming Laptop",Gaming,0.0519,0.875,3.9333
"16 GB, Gaming Laptop, Intel","DDR4, Gaming",0.0593,0.7778,3.9263
"8 GB, Processing & Multitasking, Ryzen 5 Hexa Core","AMD, DDR4",0.0519,0.9608,3.9263
"16 GB, DDR4, Gaming Laptop","Gaming, Windows 10 Home",0.0625,0.5566,3.9211
"16 GB, Gaming","Gaming Laptop, Windows 10 Home",0.0625,0.5268,3.9156
"DDR4, Ryzen 5 Hexa Core","AMD, Processing & Multitasking",0.0657,0.775,3.8915
"DDR4, Performance, Processing & Multitasking",Everyday Use,0.0551,0.8525,3.8875
"Gaming Laptop, Windows 11 Home",Gaming,0.0593,0.8615,3.8728
"16 GB, DDR4, Gaming Laptop, Intel",Gaming,0.0593,0.8615,3.8728
"16 GB, Gaming Laptop, Intel",Gaming,0.0657,0.8611,3.8709
"DDR4, Gaming Laptop, Intel, Processing & Multitasking",Gaming,0.0572,0.8571,3.8531
"Core i7, DDR4","16 GB, Intel",0.0636,0.7792,3.8512
"Entertainment, Processing & Multitasking","DDR4, Everyday Use",0.0519,0.8033,3.8298
"8 GB, Ryzen 5 Hexa Core","AMD, Processing & Multitasking",0.054,0.7612,3.8222
Core i7,"16 GB, Intel, Processing & Multitasking",0.0731,0.6273,3.8203
"Entertainment, Processing & Multitasking",Everyday Use,0.054,0.8361,3.8128
Ryzen 5 Hexa Core,"AMD, DDR4",0.0847,0.9302,3.8015
"Gaming, Processing & Multitasking, Windows 10 Home",Gaming Laptop,0.0731,0.8415,3.8007
"DDR4, Entertainment",Everyday Use,0.053,0.8333,3.8003
"8 GB, DDR4, Ryzen 5 Hexa Core","AMD, Processing & Multitasking",0.0519,0.7538,3.7853
"Gaming Laptop, Processing & Multitasking",Gaming,0.09,0.8416,3.7831
"16 GB, Gaming Laptop","DDR4, Gaming, Windows 10 Home",0.0625,0.5,3.776
"Performance, Processing & Multitasking",Everyday Use,0.0604,0.8261,3.7673
"DDR4, Performance",Everyday Use,0.0551,0.8254,3.7641
"Gaming Laptop, Intel, Processing & Multitasking",Gaming,0.0572,0.8308,3.7345
"Gaming, Processing & Multitasking",Gaming Laptop,0.09,0.8252,3.7274
"Processing & Multitasking, Ryzen 5 Hexa Core","AMD, DDR4",0.0657,0.9118,3.726
"AMD, Gaming, Windows 10 Home",Gaming Laptop,0.054,0.8226,3.7154
"8 GB, DDR4, Processing & Multitasking, Ryzen 5 Hexa Core",AMD,0.0519,1.0,3.702
"Ryzen 5 Hexa Core, Thin and Light Laptop",AMD,0.053,1.0,3.702
"Processing & Multitasking, Ryzen 5 Hexa Core, Thin and Light Laptop",AMD,0.0519,1.0,3.702
Ryzen 7 Octa Core,AMD,0.071,1.0,3.702
"16 GB, Ryzen 7 Octa Core",AMD,0.0519,1.0,3.702
Ryzen 5 Hexa Core,AMD,0.0911,1.0,3.702
"8 GB, Processing & Multitasking, Ryzen 5 Hexa Core",AMD,0.054,1.0,3.702
"DDR4, Processing & Multitasking, Ryzen 5 Hexa Core",AMD,0.0657,1.0,3.702
"8 GB, DDR4, Ryzen 5 Hexa Core",AMD,0.0689,1.0,3.702
"DDR4, Ryzen 5 Hexa Core",AMD,0.0847,1.0,3.702
"DDR4, Ryzen 7 Octa Core",AMD,0.0614,1.0,3.702
"Processing & Multitasking, Ryzen 5 Hexa Core",AMD,0.072,1.0,3.702
"8 GB, Ryzen 5 Hexa Core",AMD,0.071,1.0,3.702
Entertainment,"DDR4, Everyday Use",0.053,0.7692,3.6674
Performance,Everyday Use,0.0604,0.8028,3.6612
Core i7,"16 GB, DDR4, Intel",0.0636,0.5455,3.6518
Entertainment,Everyday Use,0.0551,0.8,3.6483
"Performance, Processing & Multitasking","DDR4, Everyday Use",0.0551,0.7536,3.593
Ryzen 7 Octa Core,"AMD, DDR4",0.0614,0.8657,3.5376
"16 GB, Gaming Laptop","Gaming, Windows 10 Home",0.0625,0.5,3.5224
Performance,"DDR4, Everyday Use",0.0551,0.7324,3.4918
"Core i7, DDR4",Gaming Laptop,0.0519,0.6364,2.8743
"Core i7, DDR4, Intel",Gaming Laptop,0.0519,0.6364,2.8743
"Core i7, Gaming Laptop, Intel",16 GB,0.0508,0.8571,2.7998
"Core i7, Gaming Laptop",16 GB,0.0508,0.8571,2.7998
"8 GB, DDR4, Everyday Use, Intel",Core i3,0.071,0.6091,2.7643
"Core i7, Intel, Processing & Multitasking",16 GB,0.0731,0.8415,2.7486
"Core i7, Processing & Multitasking",16 GB,0.0731,0.8415,2.7486
"8 GB, Everyday Use, Intel",Core i3,0.0742,0.6034,2.7387
"Core i7, Intel",16 GB,0.0975,0.8364,2.7319
Core i7,16 GB,0.0975,0.8364,2.7319
"8 GB, Everyday Use, Intel","Core i3, DDR4",0.071,0.5776,2.7126
"Core i7, Intel","16 GB, Processing & Multitasking",0.0731,0.6273,2.6794
Core i7,"16 GB, Processing & Multitasking",0.0731,0.6273,2.6794
"16 GB, DDR4, Windows 10 Home","Gaming, Gaming Laptop",0.0625,0.5364,2.6509
"DDR4, Everyday Use, Intel, Thin and Light Laptop",Core i3,0.0519,0.5833,2.6474
"16 GB, DDR4, Windows 10 Home",Gaming Laptop,0.0678,0.5818,2.6279
"8 GB, DDR4, Intel, Processing & Multitasking, Windows 11 Home",Core i3,0.0604,0.5758,2.6131
"Everyday Use, Thin and Light Laptop","8 GB, DDR4, Windows 11 Home",0.0614,0.5,2.6077
"Everyday Use, Intel, Thin and Light Laptop",Core i3,0.0551,0.5714,2.5934
"Everyday Use, Thin and Light Laptop","8 GB, Windows 11 Home",0.0667,0.5431,2.5763
"8 GB, DDR4, Intel, Windows 11 Home",Core i3,0.0784,0.5649,2.5637
"DDR4, Everyday Use, Thin and Light Laptop","8 GB, Windows 11 Home",0.0614,0.537,2.5476
"Core i7, DDR4",16 GB,0.0636,0.7792,2.5453
"Core i7, DDR4, Intel",16 GB,0.0636,0.7792,2.5453
"16 GB, DDR4, Windows 10 Home",Gaming,0.0657,0.5636,2.5337
"Everyday Use, Intel, Thin and Light Laptop","Core i3, DDR4",0.0519,0.5385,2.5289
"16 GB, Intel, Thin and Light Laptop","Core i5, Processing & Multitasking",0.0625,0.6629,2.5234
"8 GB, DDR4, Intel, Thin and Light Laptop, Windows 11 Home",Core i3,0.0551,0.5532,2.5106
"8 GB, Intel, Processing & Multitasking, Windows 11 Home",Core i3,0.0678,0.5517,2.504
"Core i3, DDR4, Windows 11 Home","8 GB, Intel, Thin and Light Laptop",0.0551,0.6118,2.4892
"8 GB, Intel, Windows 11 Home",Core i3,0.0858,0.5473,2.4839
"Core i3, Windows 11 Home","8 GB, DDR4, Intel, Thin and Light Laptop",0.0551,0.5652,2.4588
"Core i3, Windows 11 Home","8 GB, Intel, Thin and Light Laptop",0.0583,0.5978,2.4325
"DDR4, Everyday Use, Intel",Core i3,0.0847,0.5333,2.4205
"8 GB, Intel, Thin and Light Laptop, Windows 11 Home",Core i3,0.0583,0.5288,2.4001
"AMD, Ryzen 7 Octa Core",16 GB,0.0519,0.7313,2.3889
Ryzen 7 Octa Core,16 GB,0.0519,0.7313,2.3889
"Everyday Use, Intel",Core i3,0.0879,0.5253,2.3841
"8 GB, Intel, Thin and Light Laptop, Windows 10 Home","Core i5, DDR4, Processing & Multitasking",0.0583,0.5446,2.3799
"Everyday Use, Intel","Core i3, DDR4",0.0847,0.5063,2.378
"16 GB, Core i7",Gaming Laptop,0.0508,0.5217,2.3566
"16 GB, Core i7, Intel",Gaming Laptop,0.0508,0.5217,2.3566
Windows 10,Everyday Use,0.0508,0.5161,2.3537
"8 GB, Intel, Windows 11 Home","Core i3, DDR4",0.0784,0.5,2.3483
"8 GB, Intel, Thin and Light Laptop, Windows 11 Home","Core i3, DDR4",0.0551,0.5,2.3483
"Core i5, DDR4, Thin and Light Laptop, Windows 10 Home","8 GB, Intel, Processing & Multitasking",0.0583,0.7746,2.3438
Core i7,"16 GB, DDR4",0.0636,0.5455,2.3194
"Core i7, Intel","16 GB, DDR4",0.0636,0.5455,2.3194
"DDR4, Laptop",Everyday Use,0.0678,0.5079,2.3164
"Gaming Laptop, Intel","16 GB, DDR4",0.0689,0.5417,2.3033
Core i7,Gaming Laptop,0.0593,0.5091,2.2994
"Core i7, Intel",Gaming Laptop,0.0593,0.5091,2.2994
"Gaming Laptop, Processing & Multitasking","16 GB, DDR4",0.0572,0.5347,2.2735
"16 GB, AMD",Gaming,0.0519,0.5052,2.2708
"Core i5, Thin and Light Laptop, Windows 10 Home","8 GB, Intel, Processing & Multitasking",0.0636,0.75,2.2692
"16 GB, Windows 10 Home",Gaming,0.0699,0.5038,2.2648
"8 GB, Intel, Thin and Light Laptop, Windows 10 Home","Core i5, Processing & Multitasking",0.0636,0.5941,2.2613
"Core i5, Thin and Light Laptop, Windows 10 Home","8 GB, DDR4, Intel, Processing & Multitasking",0.0583,0.6875,2.2457
"16 GB, Intel, Thin and Light Laptop",Core i5,0.0636,0.6742,2.1945
"Gaming, Gaming Laptop, Intel","16 GB, DDR4",0.0593,0.5138,2.1846
"16 GB, Intel, Processing & Multitasking, Thin and Light Laptop",Core i5,0.0625,0.6705,2.1824
"8 GB, DDR4, Intel, Thin and Light Laptop, Windows 10 Home","Core i5, Processing & Multitasking",0.0583,0.5729,2.1808
"Core i3, Processing & Multitasking","8 GB, DDR4, Intel, Thin and Light Laptop",0.0869,0.5,2.1751
Gaming Laptop,"16 GB, DDR4",0.1123,0.5072,2.1566
"Gaming Laptop, Windows 10 Home","16 GB, DDR4",0.0678,0.5039,2.1429
"Core i3, Windows 11 Home","8 GB, Intel",0.0858,0.8804,2.1311
"Core i3, DDR4, Processing & Multitasking","8 GB, Intel, Thin and Light Laptop",0.0869,0.5223,2.1252
"Core i3, Processing & Multitasking","8 GB, Intel, Thin and Light Laptop",0.09,0.5183,2.1089
"Core i3, DDR4, Windows 11 Home","8 GB, Intel",0.0784,0.8706,2.1073
"Core i3, Windows 11 Home","8 GB, Intel, Processing & Multitasking",0.0678,0.6957,2.1048
"Core i3, Thin and Light Laptop, Windows 11 Home","8 GB, DDR4, Intel",0.0551,0.8125,2.0956
"Core i3, Processing & Multitasking, Windows 10 Home","DDR4, Intel, Thin and Light Laptop",0.0519,0.6901,2.0948
"Core i3, Processing & Multitasking, Windows 11 Home","8 GB, Intel",0.0678,0.8649,2.0934
